Date,AB Global High Yield AA HKD Inc
5/6/14,117.13
5/7/14,117.38
5/8/14,117.51
5/9/14,117.51
5/10/14,117.51
5/11/14,117.51
5/12/14,117.59
5/13/14,117.67
5/14/14,117.75
5/15/14,117.68
5/16/14,117.68
5/17/14,117.68
5/18/14,117.68
5/19/14,117.68
5/20/14,117.68
5/21/14,117.68
5/22/14,117.7
5/23/14,117.77
5/24/14,117.77
5/25/14,117.77
5/26/14,117.77
5/27/14,117.77
5/28/14,117.93
5/29/14,117.93
5/30/14,117.38
5/31/14,117.38
6/1/14,117.38
6/2/14,117.31
6/3/14,117.22
6/4/14,117.22
6/5/14,117.37
6/6/14,117.68
6/7/14,117.68
6/8/14,117.68
6/9/14,117.68
6/10/14,117.83
6/11/14,117.75
6/12/14,117.74
6/13/14,117.83
6/14/14,117.83
6/15/14,117.83
6/16/14,117.74
6/17/14,117.66
6/18/14,117.81
6/19/14,117.96
6/20/14,118.13
6/21/14,118.13
6/22/14,118.13
6/23/14,118.13
6/24/14,118.13
6/25/14,118.13
6/26/14,118.14
6/27/14,118.21
6/28/14,118.21
6/29/14,118.21
6/30/14,117.43
7/1/14,117.44
7/2/14,117.33
7/3/14,117.41
7/4/14,117.41
7/5/14,117.41
7/6/14,117.41
7/7/14,117.49
7/8/14,117.57
7/9/14,117.57
7/10/14,117.41
7/11/14,117.49
7/12/14,117.49
7/13/14,117.49
7/14/14,117.49
7/15/14,117.34
7/16/14,117.34
7/17/14,117.11
7/18/14,117.12
7/19/14,117.12
7/20/14,117.12
7/21/14,117.05
7/22/14,117.12
7/23/14,117.27
7/24/14,117.34
7/25/14,117.26
7/26/14,117.26
7/27/14,117.26
7/28/14,117.18
7/29/14,117.02
7/30/14,116.87
7/31/14,115.63
8/1/14,115.24
8/2/14,115.24
8/3/14,115.24
8/4/14,115.32
8/5/14,115.32
8/6/14,115.17
8/7/14,115.26
8/8/14,115.26
8/9/14,115.26
8/10/14,115.26
8/11/14,115.57
8/12/14,115.72
8/13/14,115.95
8/14/14,116.26
8/15/14,116.26
8/16/14,116.26
8/17/14,116.26
8/18/14,116.49
8/19/14,116.57
8/20/14,116.57
8/21/14,116.56
8/22/14,116.56
8/23/14,116.56
8/24/14,116.56
8/25/14,116.56
8/26/14,116.72
8/27/14,116.8
8/28/14,116.79
8/29/14,116.09
8/30/14,116.09
8/31/14,116.09
9/1/14,116.09
9/2/14,115.94
9/3/14,115.94
9/4/14,115.79
9/5/14,115.71
9/6/14,115.71
9/7/14,115.71
9/8/14,115.47
9/9/14,115.33
9/10/14,115.1
9/11/14,115.01
9/12/14,114.94
9/13/14,114.94
9/14/14,114.94
9/15/14,114.79
9/16/14,114.71
9/17/14,114.71
9/18/14,114.79
9/19/14,114.95
9/20/14,114.95
9/21/14,114.95
9/22/14,114.79
9/23/14,114.65
9/24/14,114.5
9/25/14,114.22
9/26/14,113.89
9/27/14,113.89
9/28/14,113.89
9/29/14,113.65
9/30/14,113.05
10/1/14,113.11
10/2/14,113.09
10/3/14,113.31
10/4/14,113.31
10/5/14,113.31
10/6/14,113.46
10/7/14,113.37
10/8/14,113.33
10/9/14,113.16
10/10/14,112.71
10/11/14,112.71
10/12/14,112.71
10/13/14,112.79
10/14/14,112.55
10/15/14,112.01
10/16/14,111.96
10/17/14,112.63
10/18/14,112.63
10/19/14,112.63
10/20/14,112.72
10/21/14,113.15
10/22/14,113.33
10/23/14,113.41
10/24/14,113.48
10/25/14,113.48
10/26/14,113.48
10/27/14,113.49
10/28/14,113.57
10/29/14,113.52
10/30/14,113.53
10/31/14,112.83
11/1/14,112.83
11/2/14,112.83
11/3/14,112.81
11/4/14,112.64
11/5/14,112.55
11/6/14,112.49
11/7/14,112.57
11/8/14,112.57
11/9/14,112.57
11/10/14,112.53
11/11/14,112.52
11/12/14,112.53
11/13/14,112.44
11/14/14,112.36
11/15/14,112.36
11/16/14,112.36
11/17/14,112.13
11/18/14,112.05
11/19/14,111.9
11/20/14,111.77
11/21/14,112.18
11/22/14,112.18
11/23/14,112.18
11/24/14,112.22
11/25/14,112.28
11/26/14,112.44
11/27/14,112.44
11/28/14,111.51
11/29/14,111.51
11/30/14,111.51
12/1/14,110.97
12/2/14,110.74
12/3/14,110.71
12/4/14,110.69
12/5/14,110.53
12/6/14,110.53
12/7/14,110.53
12/8/14,110.22
12/9/14,109.77
12/10/14,109.44
12/11/14,109.14
12/12/14,108.67
12/13/14,108.67
12/14/14,108.67
12/15/14,108.07
12/16/14,107.55
12/17/14,108.11
12/18/14,108.97
12/19/14,109.39
12/20/14,109.39
12/21/14,109.39
12/22/14,109.58
12/23/14,109.6
12/24/14,109.76
12/25/14,109.76
12/26/14,109.76
12/27/14,109.76
12/28/14,109.76
12/29/14,109.78
12/30/14,109.83
12/31/14,109.11
1/1/15,109.11
1/2/15,109.13
1/3/15,109.13
1/4/15,109.13
1/5/15,108.8
1/6/15,108.56
1/7/15,108.8
1/8/15,109.1
1/9/15,109.24
1/10/15,109.24
1/11/15,109.24
1/12/15,109.16
1/13/15,109.16
1/14/15,108.94
1/15/15,109.0
1/16/15,108.89
1/17/15,108.89
1/18/15,108.89
1/19/15,108.89
1/20/15,108.84
1/21/15,108.82
1/22/15,109.01
1/23/15,109.14
1/24/15,109.14
1/25/15,109.14
1/26/15,109.22
1/27/15,109.22
1/28/15,109.38
1/29/15,109.3
1/30/15,108.61
1/31/15,108.61
2/1/15,108.61
2/2/15,108.61
2/3/15,108.95
2/4/15,108.92
2/5/15,109.06
2/6/15,109.24
2/7/15,109.24
2/8/15,109.24
2/9/15,109.24
2/10/15,109.17
2/11/15,109.11
2/12/15,109.25
2/13/15,109.44
2/14/15,109.44
2/15/15,109.44
2/16/15,109.44
2/17/15,109.48
2/18/15,109.63
2/19/15,109.54
2/20/15,109.64
2/21/15,109.64
2/22/15,109.64
2/23/15,109.67
2/24/15,110.0
2/25/15,110.07
2/26/15,110.13
2/27/15,109.57
2/28/15,109.57
3/1/15,109.57
3/2/15,109.5
3/3/15,109.5
3/4/15,109.34
3/5/15,109.42
3/6/15,109.13
3/7/15,109.13
3/8/15,109.13
3/9/15,109.1
3/10/15,108.81
3/11/15,109.05
3/12/15,109.08
3/13/15,108.79
3/14/15,108.79
3/15/15,108.79
3/16/15,108.55
3/17/15,108.36
3/18/15,108.39
3/19/15,108.55
3/20/15,108.74
3/21/15,108.74
3/22/15,108.74
3/23/15,108.89
3/24/15,108.97
3/25/15,108.96
3/26/15,108.86
3/27/15,108.87
3/28/15,108.87
3/29/15,108.87
3/30/15,108.95
3/31/15,108.45
4/1/15,108.46
4/2/15,108.61
4/3/15,108.61
4/4/15,108.61
4/5/15,108.61
4/6/15,108.61
4/7/15,108.92
4/8/15,109.04
4/9/15,109.12
4/10/15,109.28
4/11/15,109.28
4/12/15,109.28
4/13/15,109.28
4/14/15,109.31
4/15/15,109.44
4/16/15,109.47
4/17/15,109.38
4/18/15,109.38
4/19/15,109.38
4/20/15,109.43
4/21/15,109.43
4/22/15,109.43
4/23/15,109.51
4/24/15,109.66
4/25/15,109.66
4/26/15,109.66
4/27/15,109.74
4/28/15,109.66
4/29/15,109.52
4/30/15,108.81
5/1/15,108.81
5/2/15,108.81
5/3/15,108.81
5/4/15,108.84
5/5/15,108.83
5/6/15,108.68
5/7/15,108.64
5/8/15,108.94
5/9/15,108.94
5/10/15,108.94
5/11/15,108.84
5/12/15,108.6
5/13/15,108.75
5/14/15,108.75
5/15/15,108.89
5/16/15,108.89
5/17/15,108.89
5/18/15,108.82
5/19/15,108.75
5/20/15,108.68
5/21/15,108.86
5/22/15,108.83
5/23/15,108.83
5/24/15,108.83
5/25/15,108.83
5/26/15,108.76
5/27/15,108.92
5/28/15,108.85
5/29/15,108.24
5/30/15,108.24
5/31/15,108.24
6/1/15,108.19
6/2/15,108.11
6/3/15,108.0
6/4/15,107.82
6/5/15,107.59
6/6/15,107.59
6/7/15,107.59
6/8/15,107.44
6/9/15,107.3
6/10/15,107.21
6/11/15,107.29
6/12/15,107.3
6/13/15,107.3
6/14/15,107.3
6/15/15,107.07
6/16/15,106.98
6/17/15,107.05
6/18/15,107.14
6/19/15,107.28
6/20/15,107.28
6/21/15,107.28
6/22/15,107.35
6/23/15,107.35
6/24/15,107.36
6/25/15,107.28
6/26/15,107.13
6/27/15,107.13
6/28/15,107.13
6/29/15,106.75
6/30/15,106.03
7/1/15,106.13
7/2/15,106.27
7/3/15,106.27
7/4/15,106.27
7/5/15,106.27
7/6/15,105.98
7/7/15,105.93
7/8/15,105.74
7/9/15,105.73
7/10/15,105.89
7/11/15,105.89
7/12/15,105.89
7/13/15,105.96
7/14/15,105.96
7/15/15,106.03
7/16/15,106.04
7/17/15,106.02
7/18/15,106.02
7/19/15,106.02
7/20/15,105.87
7/21/15,105.8
7/22/15,105.48
7/23/15,105.26
7/24/15,105.12
7/25/15,105.12
7/26/15,105.12
7/27/15,104.79
7/28/15,104.87
7/29/15,105.11
7/30/15,105.3
7/31/15,104.66
8/1/15,104.66
8/2/15,104.66
8/3/15,104.59
8/4/15,104.51
8/5/15,104.41
8/6/15,104.17
8/7/15,104.02
8/8/15,104.02
8/9/15,104.02
8/10/15,103.96
8/11/15,103.85
8/12/15,103.55
8/13/15,103.52
8/14/15,103.62
8/15/15,103.62
8/16/15,103.62
8/17/15,103.52
8/18/15,103.44
8/19/15,103.35
8/20/15,103.03
8/21/15,102.79
8/22/15,102.79
8/23/15,102.79
8/24/15,102.08
8/25/15,102.31
8/26/15,102.34
8/27/15,102.69
8/28/15,102.92
8/29/15,102.92
8/30/15,102.92
8/31/15,102.14
9/1/15,101.99
9/2/15,101.91
9/3/15,102.07
9/4/15,101.99
9/5/15,101.99
9/6/15,101.99
9/7/15,101.99
9/8/15,102.07
9/9/15,102.24
9/10/15,102.15
9/11/15,102.14
9/12/15,102.14
9/13/15,102.14
9/14/15,102.07
9/15/15,101.99
9/16/15,101.91
9/17/15,101.99
9/18/15,101.91
9/19/15,101.91
9/20/15,101.91
9/21/15,101.84
9/22/15,101.37
9/23/15,101.29
9/24/15,100.84
9/25/15,100.76
9/26/15,100.76
9/27/15,100.76
9/28/15,100.13
9/29/15,99.75
9/30/15,99.13
10/1/15,99.04
10/2/15,98.89
10/3/15,98.89
10/4/15,98.89
10/5/15,99.35
10/6/15,99.59
10/7/15,100.06
10/8/15,100.13
10/9/15,100.52
10/10/15,100.52
10/11/15,100.52
10/12/15,100.6
10/13/15,100.44
10/14/15,100.36
10/15/15,100.44
10/16/15,100.67
10/17/15,100.67
10/18/15,100.67
10/19/15,100.75
10/20/15,100.83
10/21/15,100.84
10/22/15,100.83
10/23/15,101.06
10/24/15,101.06
10/25/15,101.06
10/26/15,101.06
10/27/15,100.98
10/28/15,100.98
10/29/15,100.98
10/30/15,100.29
10/31/15,100.29
11/1/15,100.29
11/2/15,100.44
11/3/15,100.61
11/4/15,100.6
11/5/15,100.45
11/6/15,100.14
11/7/15,100.14
11/8/15,100.14
11/9/15,99.85
11/10/15,99.69
11/11/15,99.67
11/12/15,99.35
11/13/15,99.14
11/14/15,99.14
11/15/15,99.14
11/16/15,99.05
11/17/15,99.21
11/18/15,99.2
11/19/15,99.05
11/20/15,98.97
11/21/15,98.97
11/22/15,98.97
11/23/15,98.97
11/24/15,98.74
11/25/15,98.82
11/26/15,98.82
11/27/15,98.83
11/28/15,98.83
11/29/15,98.83
11/30/15,98.18
12/1/15,98.21
12/2/15,98.19
12/3/15,97.89
12/4/15,97.73
12/5/15,97.73
12/6/15,97.73
12/7/15,97.42
12/8/15,96.95
12/9/15,96.95
12/10/15,96.8
12/11/15,95.95
12/12/15,95.95
12/13/15,95.95
12/14/15,95.02
12/15/15,95.48
12/16/15,95.63
12/17/15,95.66
12/18/15,95.36
12/19/15,95.36
12/20/15,95.36
12/21/15,95.27
12/22/15,95.34
12/23/15,95.64
12/24/15,95.72
12/25/15,95.72
12/26/15,95.72
12/27/15,95.72
12/28/15,95.71
12/29/15,95.86
12/30/15,95.89
12/31/15,95.25
1/1/16,95.25
1/2/16,95.25
1/3/16,95.25
1/4/16,94.95
1/5/16,95.18
1/6/16,95.2
1/7/16,94.94
1/8/16,95.12
1/9/16,95.12
1/10/16,95.12
1/11/16,94.85
1/12/16,94.7
1/13/16,94.38
1/14/16,94.18
1/15/16,93.53
1/16/16,93.53
1/17/16,93.53
1/18/16,93.53
1/19/16,93.75
1/20/16,92.94
1/21/16,93.08
1/22/16,93.67
1/23/16,93.67
1/24/16,93.67
1/25/16,93.62
1/26/16,93.68
1/27/16,93.8
1/28/16,93.95
1/29/16,93.44
1/30/16,93.44
1/31/16,93.44
2/1/16,93.24
2/2/16,93.09
2/3/16,92.88
2/4/16,92.86
2/5/16,92.62
2/6/16,92.62
2/7/16,92.62
2/8/16,91.74
2/9/16,91.22
2/10/16,91.33
2/11/16,90.46
2/12/16,90.77
2/13/16,90.77
2/14/16,90.77
2/15/16,90.77
2/16/16,91.17
2/17/16,91.73
2/18/16,91.97
2/19/16,91.8
2/20/16,91.8
2/21/16,91.8
2/22/16,92.05
2/23/16,92.05
2/24/16,91.84
2/25/16,92.72
2/26/16,92.68
2/27/16,92.68
2/28/16,92.68
2/29/16,92.32
3/1/16,92.88
3/2/16,93.38
3/3/16,93.68
3/4/16,94.24
3/5/16,94.24
3/6/16,94.24
3/7/16,94.49
3/8/16,94.45
3/9/16,94.44
3/10/16,94.74
3/11/16,95.51
3/12/16,95.51
3/13/16,95.51
3/14/16,95.68
3/15/16,95.39
3/16/16,95.44
3/17/16,96.11
3/18/16,96.56
3/19/16,96.56
3/20/16,96.56
3/21/16,96.68
3/22/16,96.6
3/23/16,96.55
3/24/16,96.21
3/25/16,96.21
3/26/16,96.21
3/27/16,96.21
3/28/16,96.21
3/29/16,96.59
3/30/16,96.46
3/31/16,96.03
4/1/16,96.07
4/2/16,96.07
4/3/16,96.07
4/4/16,96.14
4/5/16,96.04
4/6/16,96.19
4/7/16,96.17
4/8/16,96.29
4/9/16,96.29
4/10/16,96.29
4/11/16,96.4
4/12/16,96.64
4/13/16,97.19
4/14/16,97.43
4/15/16,97.49
4/16/16,97.49
4/17/16,97.49
4/18/16,97.49
4/19/16,97.94
4/20/16,98.34
4/21/16,98.45
4/22/16,98.35
4/23/16,98.35
4/24/16,98.35
4/25/16,98.29
4/26/16,98.34
4/27/16,99.13
4/28/16,98.99
4/29/16,98.37
4/30/16,98.37
5/1/16,98.37
5/2/16,98.29
5/3/16,97.9
5/4/16,97.58
5/5/16,97.58
5/6/16,97.25
5/7/16,97.25
5/8/16,97.25
5/9/16,97.36
5/10/16,97.57
5/11/16,97.79
5/12/16,97.85
5/13/16,97.75
5/14/16,97.75
5/15/16,97.75
5/16/16,97.75
5/17/16,97.9
5/18/16,97.62
5/19/16,97.33
5/20/16,97.58
5/21/16,97.58
5/22/16,97.58
5/23/16,97.65
5/24/16,97.89
5/25/16,98.09
5/26/16,98.8
5/27/16,98.26
5/28/16,98.26
5/29/16,98.26
5/30/16,98.26
5/31/16,97.62
6/1/16,97.53
6/2/16,97.61
6/3/16,97.89
6/4/16,97.89
6/5/16,97.89
6/6/16,98.26
6/7/16,98.55
6/8/16,98.65
6/9/16,98.88
6/10/16,98.28
6/11/16,98.28
6/12/16,98.28
6/13/16,98.28
6/14/16,97.79
6/15/16,97.94
6/16/16,97.61
6/17/16,97.95
6/18/16,97.95
6/19/16,97.95
6/20/16,98.49
6/21/16,98.56
6/22/16,98.69
6/23/16,98.69
6/24/16,98.11
6/25/16,98.11
6/26/16,98.11
6/27/16,97.57
6/28/16,97.93
6/29/16,98.62
6/30/16,98.17
7/1/16,98.6
7/2/16,98.6
7/3/16,98.6
7/4/16,98.6
7/5/16,98.54
7/6/16,98.46
7/7/16,98.77
7/8/16,99.31
7/9/16,99.31
7/10/16,99.31
7/11/16,99.85
7/12/16,100.39
7/13/16,100.37
7/14/16,100.57
7/15/16,100.58
7/16/16,100.58
7/17/16,100.58
7/18/16,100.66
7/19/16,101.22
7/20/16,100.75
7/21/16,100.83
7/22/16,101.4
7/23/16,101.4
7/24/16,101.4
7/25/16,100.69
7/26/16,100.85
7/27/16,101.0
7/28/16,101.07
7/29/16,99.93
7/30/16,99.93
7/31/16,99.93
8/1/16,99.89
8/2/16,99.64
8/3/16,99.63
8/4/16,99.98
8/5/16,100.2
8/6/16,100.2
8/7/16,100.2
8/8/16,100.38
8/9/16,100.61
8/10/16,100.76
8/11/16,100.68
8/12/16,100.84
8/13/16,100.84
8/14/16,100.84
8/15/16,100.84
8/16/16,101.51
8/17/16,100.97
8/18/16,101.03
8/19/16,101.11
8/20/16,101.11
8/21/16,101.11
8/22/16,101.11
8/23/16,101.11
8/24/16,101.11
8/25/16,101.67
8/26/16,101.7
8/27/16,101.7
8/28/16,101.7
8/29/16,101.76
8/30/16,101.78
8/31/16,100.44
9/1/16,100.38
9/2/16,100.58
9/3/16,100.58
9/4/16,100.58
9/5/16,100.58
9/6/16,100.9
9/7/16,100.98
9/8/16,101.0
9/9/16,100.53
9/10/16,100.53
9/11/16,100.53
9/12/16,100.45
9/13/16,100.09
9/14/16,99.92
9/15/16,100.01
9/16/16,99.93
9/17/16,99.93
9/18/16,99.93
9/19/16,100.08
9/20/16,100.15
9/21/16,100.35
9/22/16,101.38
9/23/16,100.91
9/24/16,100.91
9/25/16,100.91
9/26/16,101.22
9/27/16,100.82
9/28/16,100.88
9/29/16,101.53
9/30/16,100.45
10/1/16,100.45
10/2/16,100.45
10/3/16,100.5
10/4/16,100.52
10/5/16,100.68
10/6/16,100.76
10/7/16,100.78
10/8/16,100.78
10/9/16,100.78
10/10/16,100.86
10/11/16,100.85
10/12/16,100.78
10/13/16,100.78
10/14/16,100.86
10/15/16,100.86
10/16/16,100.86
10/17/16,100.79
10/18/16,101.03
10/19/16,101.31
10/20/16,101.41
10/21/16,101.47
10/22/16,101.47
10/23/16,101.47
10/24/16,101.55
10/25/16,102.16
10/26/16,101.85
10/27/16,100.98
10/28/16,101.36
10/29/16,101.36
10/30/16,101.36
10/31/16,99.96
11/1/16,99.96
11/2/16,99.34
11/3/16,99.42
11/4/16,99.36
11/5/16,99.36
11/6/16,99.36
11/7/16,99.65
11/8/16,99.81
11/9/16,99.12
11/10/16,98.82
11/11/16,98.68
11/12/16,98.68
11/13/16,98.68
11/14/16,97.82
11/15/16,98.28
11/16/16,98.43
11/17/16,98.44
11/18/16,98.2
11/19/16,98.2
11/20/16,98.2
11/21/16,98.49
11/22/16,98.64
11/23/16,98.58
11/24/16,98.58
11/25/16,99.11
11/26/16,99.11
11/27/16,99.11
11/28/16,99.29
11/29/16,99.29
11/30/16,98.28
12/1/16,98.03
12/2/16,98.26
12/3/16,98.26
12/4/16,98.26
12/5/16,98.56
12/6/16,98.88
12/7/16,99.35
12/8/16,99.43
12/9/16,99.47
12/10/16,99.47
12/11/16,99.47
12/12/16,99.68
12/13/16,99.74
12/14/16,99.67
12/15/16,99.41
12/16/16,99.47
12/17/16,99.47
12/18/16,99.47
12/19/16,99.64
12/20/16,99.7
12/21/16,99.88
12/22/16,99.97
12/23/16,100.08
12/24/16,100.08
12/25/16,100.08
12/26/16,100.08
12/27/16,100.63
12/28/16,100.16
12/29/16,100.74
12/30/16,99.55
12/31/16,99.55
1/1/17,99.55
1/2/17,99.55
1/3/17,99.82
1/4/17,100.03
1/5/17,100.41
1/6/17,100.51
1/7/17,100.51
1/8/17,100.51
1/9/17,100.52
1/10/17,100.57
1/11/17,100.49
1/12/17,100.8
1/13/17,100.89
1/14/17,100.89
1/15/17,100.89
1/16/17,100.89
1/17/17,101.6
1/18/17,100.9
1/19/17,100.91
1/20/17,101.0
1/21/17,101.0
1/22/17,101.0
1/23/17,101.6
1/24/17,101.7
1/25/17,101.85
1/26/17,101.86
1/27/17,101.57
1/28/17,101.57
1/29/17,101.57
1/30/17,101.47
1/31/17,100.79
2/1/17,100.86
2/2/17,101.57
2/3/17,101.16
2/4/17,101.16
2/5/17,101.16
2/6/17,101.32
2/7/17,101.33
2/8/17,101.26
2/9/17,101.32
2/10/17,102.02
2/11/17,102.02
2/12/17,102.02
2/13/17,101.57
2/14/17,102.12
2/15/17,101.64
2/16/17,101.57
2/17/17,101.52
2/18/17,101.52
2/19/17,101.52
2/20/17,101.52
2/21/17,102.22
2/22/17,102.36
2/23/17,102.59
2/24/17,102.68
2/25/17,102.68
2/26/17,102.68
2/27/17,102.14
2/28/17,101.53
3/1/17,101.61
3/2/17,101.45
3/3/17,101.61
3/4/17,101.61
3/5/17,101.61
3/6/17,101.48
3/7/17,101.33
3/8/17,100.88
3/9/17,100.47
3/10/17,100.71
3/11/17,100.71
3/12/17,100.71
3/13/17,100.55
3/14/17,100.27
3/15/17,100.73
3/16/17,101.56
3/17/17,101.14
3/18/17,101.14
3/19/17,101.14
3/20/17,101.73
3/21/17,101.19
3/22/17,101.03
3/23/17,101.13
3/24/17,101.82
3/25/17,101.82
3/26/17,101.82
3/27/17,101.75
3/28/17,101.77
3/29/17,102.08
3/30/17,102.33
3/31/17,101.11
4/1/17,101.11
4/2/17,101.11
4/3/17,101.18
4/4/17,101.17
4/5/17,101.3
4/6/17,101.17
4/7/17,101.22
4/8/17,101.22
4/9/17,101.22
4/10/17,101.33
4/11/17,101.4
4/12/17,101.42
4/13/17,101.61
4/14/17,101.61
4/15/17,101.61
4/16/17,101.61
4/17/17,101.61
4/18/17,101.7
4/19/17,101.68
4/20/17,101.77
4/21/17,101.87
4/22/17,101.87
4/23/17,101.87
4/24/17,102.15
4/25/17,102.69
4/26/17,102.7
4/27/17,102.8
4/28/17,101.74
4/29/17,101.74
4/30/17,101.74
5/1/17,101.74
5/2/17,101.93
5/3/17,101.94
5/4/17,101.72
5/5/17,101.73
5/6/17,101.73
5/7/17,101.73
5/8/17,101.67
5/9/17,101.66
5/10/17,101.77
5/11/17,101.96
5/12/17,102.18
5/13/17,102.18
5/14/17,102.18
5/15/17,102.23
5/16/17,102.42
5/17/17,102.21
5/18/17,101.39
5/19/17,101.56
5/20/17,101.56
5/21/17,101.56
5/22/17,101.75
5/23/17,101.87
5/24/17,102.65
5/25/17,102.65
5/26/17,102.86
5/27/17,102.86
5/28/17,102.86
5/29/17,102.86
5/30/17,102.4
5/31/17,101.76
6/1/17,101.84
6/2/17,101.97
6/3/17,101.97
6/4/17,101.97
6/5/17,101.97
6/6/17,102.1
6/7/17,101.95
6/8/17,101.91
6/9/17,101.91
6/10/17,101.91
6/11/17,101.91
6/12/17,101.94
6/13/17,101.99
6/14/17,102.16
6/15/17,102.05
6/16/17,102.03
6/17/17,102.03
6/18/17,102.03
6/19/17,101.95
6/20/17,101.72
6/21/17,101.57
6/22/17,101.62
6/23/17,101.62
6/24/17,101.62
6/25/17,101.62
6/26/17,102.32
6/27/17,101.88
6/28/17,101.83
6/29/17,101.87
6/30/17,101.19
7/1/17,101.19
7/2/17,101.19
7/3/17,101.16
7/4/17,101.16
7/5/17,101.04
7/6/17,100.92
7/7/17,100.86
7/8/17,100.86
