Date,Franklin US Government A(acc)HKD
4/30/10,10.0
5/1/10,10.0
5/2/10,10.0
5/3/10,9.99
5/4/10,10.01
5/5/10,10.03
5/6/10,10.07
5/7/10,10.07
5/8/10,10.07
5/9/10,10.07
5/10/10,10.06
5/11/10,10.07
5/12/10,10.09
5/13/10,10.1
5/14/10,10.13
5/15/10,10.13
5/16/10,10.13
5/17/10,10.15
5/18/10,10.16
5/19/10,10.17
5/20/10,10.19
5/21/10,10.19
5/22/10,10.19
5/23/10,10.19
5/24/10,10.18
5/25/10,10.2
5/26/10,10.16
5/27/10,10.15
5/28/10,10.15
5/29/10,10.15
5/30/10,10.15
5/31/10,10.16
6/1/10,10.17
6/2/10,10.18
6/3/10,10.18
6/4/10,10.21
6/5/10,10.21
6/6/10,10.21
6/7/10,10.23
6/8/10,10.24
6/9/10,10.24
6/10/10,10.19
6/11/10,10.21
6/12/10,10.21
6/13/10,10.21
6/14/10,10.21
6/15/10,10.2
6/16/10,10.21
6/17/10,10.23
6/18/10,10.22
6/19/10,10.22
6/20/10,10.22
6/21/10,10.22
6/22/10,10.24
6/23/10,10.24
6/24/10,10.23
6/25/10,10.24
6/26/10,10.24
6/27/10,10.24
6/28/10,10.27
6/29/10,10.27
6/30/10,10.26
7/1/10,10.27
7/2/10,10.27
7/3/10,10.27
7/4/10,10.27
7/5/10,10.27
7/6/10,10.29
7/7/10,10.29
7/8/10,10.28
7/9/10,10.25
7/10/10,10.25
7/11/10,10.25
7/12/10,10.28
7/13/10,10.28
7/14/10,10.28
7/15/10,10.27
7/16/10,10.3
7/17/10,10.3
7/18/10,10.3
7/19/10,10.3
7/20/10,10.31
7/21/10,10.32
7/22/10,10.32
7/23/10,10.31
7/24/10,10.31
7/25/10,10.31
7/26/10,10.32
7/27/10,10.32
7/28/10,10.33
7/29/10,10.33
7/30/10,10.34
7/31/10,10.34
8/1/10,10.34
8/2/10,10.33
8/3/10,10.35
8/4/10,10.34
8/5/10,10.34
8/6/10,10.35
8/7/10,10.35
8/8/10,10.35
8/9/10,10.33
8/10/10,10.33
8/11/10,10.34
8/12/10,10.31
8/13/10,10.34
8/14/10,10.34
8/15/10,10.34
8/16/10,10.35
8/17/10,10.33
8/18/10,10.3
8/19/10,10.31
8/20/10,10.3
8/21/10,10.3
8/22/10,10.3
8/23/10,10.31
8/24/10,10.32
8/25/10,10.33
8/26/10,10.35
8/27/10,10.33
8/28/10,10.33
8/29/10,10.33
8/30/10,10.35
8/31/10,10.36
9/1/10,10.35
9/2/10,10.34
9/3/10,10.32
9/4/10,10.32
9/5/10,10.32
9/6/10,10.32
9/7/10,10.34
9/8/10,10.33
9/9/10,10.29
9/10/10,10.29
9/11/10,10.29
9/12/10,10.29
9/13/10,10.3
9/14/10,10.31
9/15/10,10.3
9/16/10,10.29
9/17/10,10.28
9/18/10,10.28
9/19/10,10.28
9/20/10,10.28
9/21/10,10.3
9/22/10,10.29
9/23/10,10.28
9/24/10,10.27
9/25/10,10.27
9/26/10,10.27
9/27/10,10.29
9/28/10,10.29
9/29/10,10.28
9/30/10,10.29
10/1/10,10.29
10/2/10,10.29
10/3/10,10.29
10/4/10,10.31
10/5/10,10.31
10/6/10,10.33
10/7/10,10.36
10/8/10,10.37
10/9/10,10.37
10/10/10,10.37
10/11/10,10.37
10/12/10,10.39
10/13/10,10.42
10/14/10,10.4
10/15/10,10.36
10/16/10,10.36
10/17/10,10.36
10/18/10,10.38
10/19/10,10.4
10/20/10,10.41
10/21/10,10.41
10/22/10,10.41
10/23/10,10.41
10/24/10,10.41
10/25/10,10.39
10/26/10,10.39
10/27/10,10.38
10/28/10,10.38
10/29/10,10.39
10/30/10,10.39
10/31/10,10.39
11/1/10,10.39
11/2/10,10.4
11/3/10,10.42
11/4/10,10.44
11/5/10,10.42
11/6/10,10.42
11/7/10,10.42
11/8/10,10.41
11/9/10,10.39
11/10/10,10.39
11/11/10,10.39
11/12/10,10.36
11/13/10,10.36
11/14/10,10.36
11/15/10,10.34
11/16/10,10.36
11/17/10,10.38
11/18/10,10.38
11/19/10,10.4
11/20/10,10.4
11/21/10,10.4
11/22/10,10.42
11/23/10,10.44
11/24/10,10.41
11/25/10,10.41
11/26/10,10.41
11/27/10,10.41
11/28/10,10.41
11/29/10,10.42
11/30/10,10.4
12/1/10,10.36
12/2/10,10.34
12/3/10,10.36
12/4/10,10.36
12/5/10,10.36
12/6/10,10.39
12/7/10,10.33
12/8/10,10.3
12/9/10,10.32
12/10/10,10.3
12/11/10,10.3
12/12/10,10.3
12/13/10,10.31
12/14/10,10.25
12/15/10,10.22
12/16/10,10.23
12/17/10,10.3
12/18/10,10.3
12/19/10,10.3
12/20/10,10.3
12/21/10,10.31
12/22/10,10.32
12/23/10,10.3
12/24/10,10.3
12/25/10,10.3
12/26/10,10.3
12/27/10,10.32
12/28/10,10.27
12/29/10,10.34
12/30/10,10.33
12/31/10,10.34
1/1/11,10.34
1/2/11,10.34
1/3/11,10.33
1/4/11,10.34
1/5/11,10.29
1/6/11,10.31
1/7/11,10.34
1/8/11,10.34
1/9/11,10.34
1/10/11,10.35
1/11/11,10.34
1/12/11,10.34
1/13/11,10.36
1/14/11,10.35
1/15/11,10.35
1/16/11,10.35
1/17/11,10.36
1/18/11,10.34
1/19/11,10.36
1/20/11,10.33
1/21/11,10.35
1/22/11,10.35
1/23/11,10.35
1/24/11,10.37
1/25/11,10.38
1/26/11,10.34
1/27/11,10.37
1/28/11,10.38
1/29/11,10.38
1/30/11,10.38
1/31/11,10.38
2/1/11,10.35
2/2/11,10.33
2/3/11,10.3
2/4/11,10.28
2/5/11,10.28
2/6/11,10.28
2/7/11,10.27
2/8/11,10.23
2/9/11,10.25
2/10/11,10.24
2/11/11,10.25
2/12/11,10.25
2/13/11,10.25
2/14/11,10.28
2/15/11,10.29
2/16/11,10.29
2/17/11,10.31
2/18/11,10.3
2/19/11,10.3
2/20/11,10.3
2/21/11,10.3
2/22/11,10.35
2/23/11,10.35
2/24/11,10.37
2/25/11,10.37
2/26/11,10.37
2/27/11,10.37
2/28/11,10.38
3/1/11,10.38
3/2/11,10.37
3/3/11,10.33
3/4/11,10.37
3/5/11,10.37
3/6/11,10.37
3/7/11,10.38
3/8/11,10.36
3/9/11,10.38
3/10/11,10.4
3/11/11,10.39
3/12/11,10.39
3/13/11,10.39
3/14/11,10.41
3/15/11,10.42
3/16/11,10.46
3/17/11,10.44
3/18/11,10.44
3/19/11,10.44
3/20/11,10.44
3/21/11,10.41
3/22/11,10.39
3/23/11,10.39
3/24/11,10.38
3/25/11,10.37
3/26/11,10.37
3/27/11,10.37
3/28/11,10.38
3/29/11,10.36
3/30/11,10.37
3/31/11,10.36
4/1/11,10.36
4/2/11,10.36
4/3/11,10.36
4/4/11,10.35
4/5/11,10.33
4/6/11,10.32
4/7/11,10.32
4/8/11,10.32
4/9/11,10.32
4/10/11,10.32
4/11/11,10.32
4/12/11,10.35
4/13/11,10.37
4/14/11,10.37
4/15/11,10.4
4/16/11,10.4
4/17/11,10.4
4/18/11,10.42
4/19/11,10.42
4/20/11,10.41
4/21/11,10.41
4/22/11,10.41
4/23/11,10.41
4/24/11,10.41
4/25/11,10.44
4/26/11,10.45
4/27/11,10.43
4/28/11,10.46
4/29/11,10.46
4/30/11,10.46
5/1/11,10.46
5/2/11,10.46
5/3/11,10.47
5/4/11,10.48
5/5/11,10.51
5/6/11,10.52
5/7/11,10.52
5/8/11,10.52
5/9/11,10.53
5/10/11,10.52
5/11/11,10.52
5/12/11,10.51
5/13/11,10.53
5/14/11,10.53
5/15/11,10.53
5/16/11,10.56
5/17/11,10.57
5/18/11,10.57
5/19/11,10.56
5/20/11,10.57
5/21/11,10.57
5/22/11,10.57
5/23/11,10.58
5/24/11,10.58
5/25/11,10.59
5/26/11,10.61
5/27/11,10.6
5/28/11,10.6
5/29/11,10.6
5/30/11,10.6
5/31/11,10.6
6/1/11,10.64
6/2/11,10.63
6/3/11,10.64
6/4/11,10.64
6/5/11,10.64
6/6/11,10.65
6/7/11,10.67
6/8/11,10.68
6/9/11,10.66
6/10/11,10.65
6/11/11,10.65
6/12/11,10.65
6/13/11,10.65
6/14/11,10.62
6/15/11,10.65
6/16/11,10.65
6/17/11,10.63
6/18/11,10.63
6/19/11,10.63
6/20/11,10.63
6/21/11,10.63
6/22/11,10.64
6/23/11,10.66
6/24/11,10.66
6/25/11,10.66
6/26/11,10.66
6/27/11,10.65
6/28/11,10.63
6/29/11,10.63
6/30/11,10.63
7/1/11,10.62
7/2/11,10.62
7/3/11,10.62
7/4/11,10.62
7/5/11,10.64
7/6/11,10.64
7/7/11,10.61
7/8/11,10.65
7/9/11,10.65
7/10/11,10.65
7/11/11,10.67
7/12/11,10.68
7/13/11,10.67
7/14/11,10.67
7/15/11,10.68
7/16/11,10.68
7/17/11,10.68
7/18/11,10.68
7/19/11,10.67
7/20/11,10.67
7/21/11,10.66
7/22/11,10.68
7/23/11,10.68
7/24/11,10.68
7/25/11,10.68
7/26/11,10.7
7/27/11,10.68
7/28/11,10.69
7/29/11,10.74
7/30/11,10.74
7/31/11,10.74
8/1/11,10.76
8/2/11,10.79
8/3/11,10.8
8/4/11,10.82
8/5/11,10.79
8/6/11,10.79
8/7/11,10.79
8/8/11,10.8
8/9/11,10.83
8/10/11,10.93
8/11/11,10.9
8/12/11,10.93
8/13/11,10.93
8/14/11,10.93
8/15/11,10.91
8/16/11,10.91
8/17/11,10.9
8/18/11,10.92
8/19/11,10.9
8/20/11,10.9
8/21/11,10.9
8/22/11,10.88
8/23/11,10.86
8/24/11,10.83
8/25/11,10.83
8/26/11,10.85
8/27/11,10.85
8/28/11,10.85
8/29/11,10.84
8/30/11,10.88
8/31/11,10.87
9/1/11,10.89
9/2/11,10.9
9/3/11,10.9
9/4/11,10.9
9/5/11,10.91
9/6/11,10.92
9/7/11,10.92
9/8/11,10.92
9/9/11,10.93
9/10/11,10.93
9/11/11,10.93
9/12/11,10.93
9/13/11,10.93
9/14/11,10.93
9/15/11,10.91
9/16/11,10.91
9/17/11,10.91
9/18/11,10.91
9/19/11,10.93
9/20/11,10.91
9/21/11,10.93
9/22/11,10.95
9/23/11,10.91
9/24/11,10.91
9/25/11,10.91
9/26/11,10.88
9/27/11,10.85
9/28/11,10.85
9/29/11,10.86
9/30/11,10.87
10/1/11,10.87
10/2/11,10.87
10/3/11,10.9
10/4/11,10.88
10/5/11,10.86
10/6/11,10.83
10/7/11,10.82
10/8/11,10.82
10/9/11,10.82
10/10/11,10.82
10/11/11,10.81
10/12/11,10.8
10/13/11,10.81
10/14/11,10.8
10/15/11,10.8
10/16/11,10.8
10/17/11,10.82
10/18/11,10.81
10/19/11,10.82
10/20/11,10.82
10/21/11,10.82
10/22/11,10.82
10/23/11,10.82
10/24/11,10.81
10/25/11,10.84
10/26/11,10.83
10/27/11,10.8
10/28/11,10.83
10/29/11,10.83
10/30/11,10.83
10/31/11,10.87
11/1/11,10.91
11/2/11,10.9
11/3/11,10.87
11/4/11,10.88
11/5/11,10.88
11/6/11,10.88
11/7/11,10.88
11/8/11,10.86
11/9/11,10.88
11/10/11,10.87
11/11/11,10.87
11/12/11,10.87
11/13/11,10.87
11/14/11,10.86
11/15/11,10.88
11/16/11,10.9
11/17/11,10.91
11/18/11,10.9
11/19/11,10.9
11/20/11,10.9
11/21/11,10.91
11/22/11,10.91
11/23/11,10.91
11/24/11,10.92
11/25/11,10.91
11/26/11,10.91
11/27/11,10.91
11/28/11,10.93
11/29/11,10.93
11/30/11,10.91
12/1/11,10.9
12/2/11,10.91
12/3/11,10.91
12/4/11,10.91
12/5/11,10.92
12/6/11,10.92
12/7/11,10.95
12/8/11,10.96
12/9/11,10.95
12/10/11,10.95
12/11/11,10.95
12/12/11,10.96
12/13/11,10.96
12/14/11,10.98
12/15/11,10.97
12/16/11,10.97
12/17/11,10.97
12/18/11,10.97
12/19/11,10.97
12/20/11,10.96
12/21/11,10.95
12/22/11,10.95
12/23/11,10.93
12/24/11,10.93
12/25/11,10.93
12/26/11,10.93
12/27/11,10.94
12/28/11,10.96
12/29/11,10.97
12/30/11,10.97
12/31/11,10.97
1/1/12,10.97
1/2/12,10.97
1/3/12,10.97
1/4/12,10.97
1/5/12,10.97
1/6/12,10.97
1/7/12,10.97
1/8/12,10.97
1/9/12,10.98
1/10/12,10.98
1/11/12,10.99
1/12/12,11.0
1/13/12,11.01
1/14/12,11.01
1/15/12,11.01
1/16/12,11.01
1/17/12,11.01
1/18/12,10.98
1/19/12,10.97
1/20/12,10.95
1/21/12,10.95
1/22/12,10.95
1/23/12,10.95
1/24/12,10.95
1/25/12,10.95
1/26/12,10.98
1/27/12,10.96
1/28/12,10.96
1/29/12,10.96
1/30/12,10.97
1/31/12,10.97
2/1/12,10.97
2/2/12,10.97
2/3/12,10.96
2/4/12,10.96
2/5/12,10.96
2/6/12,10.97
2/7/12,10.97
2/8/12,10.96
2/9/12,10.95
2/10/12,10.97
2/11/12,10.97
2/12/12,10.97
2/13/12,10.98
2/14/12,11.0
2/15/12,11.0
2/16/12,10.98
2/17/12,10.97
2/18/12,10.97
2/19/12,10.97
2/20/12,10.97
2/21/12,10.96
2/22/12,10.97
2/23/12,10.97
2/24/12,10.96
2/25/12,10.96
2/26/12,10.96
2/27/12,10.96
2/28/12,10.97
2/29/12,10.96
3/1/12,10.96
3/2/12,10.97
3/3/12,10.97
3/4/12,10.97
3/5/12,10.98
3/6/12,10.98
3/7/12,10.98
3/8/12,10.97
3/9/12,10.97
3/10/12,10.97
3/11/12,10.97
3/12/12,10.98
3/13/12,10.97
3/14/12,10.94
3/15/12,10.95
3/16/12,10.96
3/17/12,10.96
3/18/12,10.96
3/19/12,10.94
3/20/12,10.94
3/21/12,10.96
3/22/12,10.97
3/23/12,10.97
3/24/12,10.97
3/25/12,10.97
3/26/12,10.98
3/27/12,10.98
3/28/12,10.98
3/29/12,10.99
3/30/12,10.98
3/31/12,10.98
4/1/12,10.98
4/2/12,10.99
4/3/12,10.97
4/4/12,10.98
4/5/12,11.0
4/6/12,11.0
4/7/12,11.0
4/8/12,11.0
4/9/12,11.05
4/10/12,11.04
4/11/12,11.03
4/12/12,11.02
4/13/12,11.03
4/14/12,11.03
4/15/12,11.03
4/16/12,11.03
4/17/12,11.02
4/18/12,11.03
4/19/12,11.04
4/20/12,11.02
4/21/12,11.02
4/22/12,11.02
4/23/12,11.03
4/24/12,11.02
4/25/12,11.02
4/26/12,11.02
4/27/12,11.02
4/28/12,11.02
4/29/12,11.02
4/30/12,11.03
5/1/12,11.03
5/2/12,11.04
5/3/12,11.05
5/4/12,11.05
5/5/12,11.05
5/6/12,11.05
5/7/12,11.06
5/8/12,11.05
5/9/12,11.04
5/10/12,11.03
5/11/12,11.04
5/12/12,11.04
5/13/12,11.04
5/14/12,11.04
5/15/12,11.04
5/16/12,11.05
5/17/12,11.06
5/18/12,11.05
5/19/12,11.05
5/20/12,11.05
5/21/12,11.05
5/22/12,11.05
5/23/12,11.05
5/24/12,11.05
5/25/12,11.05
5/26/12,11.05
5/27/12,11.05
5/28/12,11.05
5/29/12,11.05
5/30/12,11.07
5/31/12,11.06
6/1/12,11.06
6/2/12,11.06
6/3/12,11.06
6/4/12,11.05
6/5/12,11.04
6/6/12,11.04
6/7/12,11.06
6/8/12,11.06
6/9/12,11.06
6/10/12,11.06
6/11/12,11.06
6/12/12,11.06
6/13/12,11.07
6/14/12,11.06
6/15/12,11.05
6/16/12,11.05
6/17/12,11.05
6/18/12,11.05
6/19/12,11.05
6/20/12,11.03
6/21/12,11.05
6/22/12,11.04
6/23/12,11.04
6/24/12,11.04
6/25/12,11.05
6/26/12,11.04
6/27/12,11.04
6/28/12,11.06
6/29/12,11.05
6/30/12,11.05
7/1/12,11.05
7/2/12,11.07
7/3/12,11.06
7/4/12,11.06
7/5/12,11.07
7/6/12,11.08
7/7/12,11.08
7/8/12,11.08
7/9/12,11.09
7/10/12,11.09
7/11/12,11.09
7/12/12,11.1
7/13/12,11.1
7/14/12,11.1
7/15/12,11.1
7/16/12,11.11
7/17/12,11.1
7/18/12,11.11
7/19/12,11.11
7/20/12,11.12
7/21/12,11.12
7/22/12,11.12
7/23/12,11.13
7/24/12,11.13
7/25/12,11.13
7/26/12,11.13
7/27/12,11.11
7/28/12,11.11
7/29/12,11.11
7/30/12,11.12
7/31/12,11.13
8/1/12,11.13
8/2/12,11.13
8/3/12,11.13
8/4/12,11.13
8/5/12,11.13
8/6/12,11.14
8/7/12,11.12
8/8/12,11.11
8/9/12,11.11
8/10/12,11.11
8/11/12,11.11
8/12/12,11.11
8/13/12,11.1
8/14/12,11.09
8/15/12,11.07
8/16/12,11.06
8/17/12,11.06
8/18/12,11.06
8/19/12,11.06
8/20/12,11.06
8/21/12,11.06
8/22/12,11.11
8/23/12,11.13
8/24/12,11.12
8/25/12,11.12
8/26/12,11.12
8/27/12,11.13
8/28/12,11.13
8/29/12,11.12
8/30/12,11.13
8/31/12,11.14
9/1/12,11.14
9/2/12,11.14
9/3/12,11.15
9/4/12,11.15
9/5/12,11.15
9/6/12,11.14
9/7/12,11.14
9/8/12,11.14
9/9/12,11.14
9/10/12,11.13
9/11/12,11.12
9/12/12,11.1
9/13/12,11.14
9/14/12,11.12
9/15/12,11.12
9/16/12,11.12
9/17/12,11.12
9/18/12,11.11
9/19/12,11.12
9/20/12,11.13
9/21/12,11.14
9/22/12,11.14
9/23/12,11.14
9/24/12,11.16
9/25/12,11.17
9/26/12,11.17
9/27/12,11.15
9/28/12,11.15
9/29/12,11.15
9/30/12,11.15
10/1/12,11.15
10/2/12,11.14
10/3/12,11.14
10/4/12,11.12
10/5/12,11.11
10/6/12,11.11
10/7/12,11.11
10/8/12,11.11
10/9/12,11.08
10/10/12,11.09
10/11/12,11.09
10/12/12,11.09
10/13/12,11.09
10/14/12,11.09
10/15/12,11.08
10/16/12,11.08
10/17/12,11.07
10/18/12,11.05
10/19/12,11.07
10/20/12,11.07
10/21/12,11.07
10/22/12,11.07
10/23/12,11.07
10/24/12,11.07
10/25/12,11.06
10/26/12,11.07
10/27/12,11.07
10/28/12,11.07
10/29/12,11.08
10/30/12,11.08
10/31/12,11.08
11/1/12,11.07
11/2/12,11.08
11/3/12,11.08
11/4/12,11.08
11/5/12,11.09
11/6/12,11.07
11/7/12,11.06
11/8/12,11.05
11/9/12,11.04
11/10/12,11.04
11/11/12,11.04
11/12/12,11.03
11/13/12,11.01
11/14/12,11.0
11/15/12,11.02
11/16/12,11.03
11/17/12,11.03
11/18/12,11.03
11/19/12,11.04
11/20/12,11.04
11/21/12,11.04
11/22/12,11.04
11/23/12,11.04
11/24/12,11.04
11/25/12,11.04
11/26/12,11.05
11/27/12,11.05
11/28/12,11.05
11/29/12,11.05
11/30/12,11.06
12/1/12,11.06
12/2/12,11.06
12/3/12,11.06
12/4/12,11.08
12/5/12,11.07
12/6/12,11.06
12/7/12,11.06
12/8/12,11.06
12/9/12,11.06
12/10/12,11.07
12/11/12,11.05
12/12/12,11.05
12/13/12,11.04
12/14/12,11.04
12/15/12,11.04
12/16/12,11.04
12/17/12,11.04
12/18/12,11.03
12/19/12,11.04
12/20/12,11.04
12/21/12,11.05
12/22/12,11.05
12/23/12,11.05
12/24/12,11.05
12/25/12,11.05
12/26/12,11.05
12/27/12,11.06
12/28/12,11.06
12/29/12,11.06
12/30/12,11.06
12/31/12,11.06
1/1/13,11.06
1/2/13,11.06
1/3/13,11.06
1/4/13,11.05
1/5/13,11.05
1/6/13,11.05
1/7/13,11.06
1/8/13,11.05
1/9/13,11.04
1/10/13,11.02
1/11/13,11.03
1/12/13,11.03
1/13/13,11.03
1/14/13,11.03
1/15/13,11.03
1/16/13,11.03
1/17/13,11.02
1/18/13,11.02
1/19/13,11.02
1/20/13,11.02
1/21/13,11.02
1/22/13,11.03
1/23/13,11.03
1/24/13,11.03
1/25/13,11.01
1/26/13,11.01
1/27/13,11.01
1/28/13,11.01
1/29/13,11.01
1/30/13,11.01
1/31/13,11.02
2/1/13,11.02
2/2/13,11.02
2/3/13,11.02
2/4/13,11.03
2/5/13,11.03
2/6/13,11.03
2/7/13,11.02
2/8/13,11.01
2/9/13,11.01
2/10/13,11.01
2/11/13,11.0
2/12/13,10.99
2/13/13,11.0
2/14/13,11.0
2/15/13,11.01
2/16/13,11.01
2/17/13,11.01
2/18/13,11.02
2/19/13,11.02
2/20/13,11.02
2/21/13,11.01
2/22/13,11.01
2/23/13,11.01
2/24/13,11.01
2/25/13,11.03
2/26/13,11.03
2/27/13,11.04
2/28/13,11.04
3/1/13,11.04
3/2/13,11.04
3/3/13,11.04
3/4/13,11.04
3/5/13,11.04
3/6/13,11.03
3/7/13,11.02
3/8/13,11.0
3/9/13,11.0
3/10/13,11.0
3/11/13,10.99
3/12/13,11.0
3/13/13,11.01
3/14/13,11.01
3/15/13,11.02
3/16/13,11.02
3/17/13,11.02
3/18/13,11.02
3/19/13,11.03
3/20/13,11.02
3/21/13,11.02
3/22/13,11.02
3/23/13,11.02
3/24/13,11.02
3/25/13,11.03
3/26/13,11.03
3/27/13,11.05
3/28/13,11.04
3/29/13,11.04
3/30/13,11.04
3/31/13,11.04
4/1/13,11.06
4/2/13,11.05
4/3/13,11.06
4/4/13,11.08
4/5/13,11.09
4/6/13,11.09
4/7/13,11.09
4/8/13,11.07
4/9/13,11.06
4/10/13,11.05
4/11/13,11.05
4/12/13,11.06
4/13/13,11.06
4/14/13,11.06
4/15/13,11.07
4/16/13,11.07
4/17/13,11.07
4/18/13,11.07
4/19/13,11.08
4/20/13,11.08
4/21/13,11.08
4/22/13,11.08
4/23/13,11.08
4/24/13,11.08
4/25/13,11.08
4/26/13,11.09
4/27/13,11.09
4/28/13,11.09
4/29/13,11.09
4/30/13,11.09
5/1/13,11.08
5/2/13,11.08
5/3/13,11.06
5/4/13,11.06
5/5/13,11.06
5/6/13,11.06
5/7/13,11.06
5/8/13,11.05
5/9/13,11.04
5/10/13,11.01
5/11/13,11.01
5/12/13,11.01
5/13/13,11.01
5/14/13,11.0
5/15/13,10.99
5/16/13,11.01
5/17/13,10.97
5/18/13,10.97
5/19/13,10.97
5/20/13,10.96
5/21/13,10.96
5/22/13,10.95
5/23/13,10.95
5/24/13,10.96
5/25/13,10.96
5/26/13,10.96
5/27/13,10.96
5/28/13,10.92
5/29/13,10.92
5/30/13,10.91
5/31/13,10.9
6/1/13,10.9
6/2/13,10.9
6/3/13,10.9
6/4/13,10.87
6/5/13,10.88
6/6/13,10.9
6/7/13,10.89
6/8/13,10.89
6/9/13,10.89
6/10/13,10.88
6/11/13,10.88
6/12/13,10.85
6/13/13,10.88
6/14/13,10.9
6/15/13,10.9
6/16/13,10.9
6/17/13,10.89
6/18/13,10.9
6/19/13,10.87
6/20/13,10.81
6/21/13,10.76
6/22/13,10.76
6/23/13,10.76
6/24/13,10.72
6/25/13,10.71
6/26/13,10.74
6/27/13,10.79
6/28/13,10.8
6/29/13,10.8
6/30/13,10.8
7/1/13,10.83
7/2/13,10.83
7/3/13,10.8
7/4/13,10.8
7/5/13,10.68
7/6/13,10.68
7/7/13,10.68
7/8/13,10.73
7/9/13,10.75
7/10/13,10.7
7/11/13,10.73
7/12/13,10.73
7/13/13,10.73
7/14/13,10.73
7/15/13,10.76
7/16/13,10.76
7/17/13,10.77
7/18/13,10.76
7/19/13,10.79
7/20/13,10.79
7/21/13,10.79
7/22/13,10.79
7/23/13,10.79
7/24/13,10.76
7/25/13,10.77
7/26/13,10.78
7/27/13,10.78
7/28/13,10.78
7/29/13,10.77
7/30/13,10.75
7/31/13,10.75
8/1/13,10.74
8/2/13,10.79
8/3/13,10.79
8/4/13,10.79
8/5/13,10.79
8/6/13,10.79
8/7/13,10.8
8/8/13,10.79
8/9/13,10.8
8/10/13,10.8
8/11/13,10.8
8/12/13,10.79
8/13/13,10.75
8/14/13,10.75
8/15/13,10.73
8/16/13,10.7
8/17/13,10.7
8/18/13,10.7
8/19/13,10.67
8/20/13,10.69
8/21/13,10.68
8/22/13,10.66
8/23/13,10.71
8/24/13,10.71
8/25/13,10.71
8/26/13,10.73
8/27/13,10.76
8/28/13,10.72
8/29/13,10.74
8/30/13,10.74
8/31/13,10.74
9/1/13,10.74
9/2/13,10.74
9/3/13,10.72
9/4/13,10.7
9/5/13,10.65
9/6/13,10.68
9/7/13,10.68
9/8/13,10.68
9/9/13,10.73
9/10/13,10.7
9/11/13,10.73
9/12/13,10.73
9/13/13,10.74
9/14/13,10.74
9/15/13,10.74
9/16/13,10.75
9/17/13,10.75
9/18/13,10.83
9/19/13,10.82
9/20/13,10.82
9/21/13,10.82
9/22/13,10.82
9/23/13,10.83
9/24/13,10.86
9/25/13,10.87
9/26/13,10.87
9/27/13,10.87
9/28/13,10.87
9/29/13,10.87
9/30/13,10.87
10/1/13,10.87
10/2/13,10.88
10/3/13,10.89
10/4/13,10.88
10/5/13,10.88
10/6/13,10.88
10/7/13,10.88
10/8/13,10.88
10/9/13,10.87
10/10/13,10.86
10/11/13,10.87
10/12/13,10.87
10/13/13,10.87
10/14/13,10.87
10/15/13,10.86
10/16/13,10.88
10/17/13,10.91
10/18/13,10.91
10/19/13,10.91
10/20/13,10.91
10/21/13,10.91
10/22/13,10.93
10/23/13,10.93
10/24/13,10.92
10/25/13,10.92
10/26/13,10.92
10/27/13,10.92
10/28/13,10.92
10/29/13,10.92
